file	frame_seq	payload_len	crc32_payload	protocol_id	crc32_header	module_px	logical_grid_size
sample_full_frame.png	0	1024	11CFD47C	V1.6-108-4F	45B63C04	9	108
sample_short_frame.png	1	173	6C96EDF8	V1.6-108-4F	0CA84819	9	108
